* NAME                TYPENAME                             S              BETX              BETY              ALFX              ALFY               MUX               MUY               K0L               K1L               K2L          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  QC1LPE681           MULT                          .6800002         4.7233525       154.1183491        -6.7982566      -226.6293985          .2267647          .2492980          .0000000 9.802141558214E-7 1.340783827049E-4          .2267647          .2492980
  QC1LE685            MULT                          .6800002         4.7233525       154.1183487        -6.7982352      -226.6300924          .2267647          .2492980 -1.70783263150E-6 1.16297266487E-10 5.18262230575E-11          .2267647          .2492980
  QC1LPE689           MULT                          .6900002         4.8603165       158.6842606        -6.8981443      -229.9615998          .2270969          .2493081          .0000000 9.802141558214E-7 1.340783827049E-4          .2270969          .2493081
  QC1LPE691           MULT                          .6900002         4.8603165       158.6842601        -6.8981224      -229.9623059          .2270969          .2493081          .0000000 -2.52948931249E-6 1.178286082568E-4          .2270969          .2493081
  QC1LE695            MULT                          .6900002         4.8603165       158.6842596        -6.8981163      -229.9624999          .2270969          .2493081 -2.41969272221E-6 1.21065371875E-10 6.55768749750E-11          .2270969          .2493081
  QC1LPE699           MULT                          .7000002         4.9992783       163.3168124        -6.9980035      -233.2933662          .2274198          .2493180          .0000000 -2.52948931249E-6 1.178286082568E-4          .2274198          .2493180
  QC1LPE701           MULT                          .7000002         4.9992783       163.3168118        -6.9979975      -233.2935548          .2274198          .2493180          .0000000 -1.00484961059E-5 3.126337995047E-5          .2274198          .2493180
  QC1LE705            MULT                          .7000002         4.9992783       163.3168113        -6.9980335      -233.2923750          .2274198          .2493180 -3.46931935443E-6 1.26446185637E-10 6.81319736670E-11          .2274198          .2493180
  QC1LPE709           MULT                          .7100002         5.1402386       168.0159544        -7.0978998      -236.6224641          .2277337          .2493276          .0000000 -1.00484961059E-5 3.126337995047E-5          .2277337          .2493276
  QC1LPE711           MULT                          .7100002         5.1402386       168.0159539        -7.0979371      -236.6212402          .2277337          .2493276          .0000000 -2.55074645588E-5 -1.49753384961E-4          .2277337          .2493276
  QC1LE715            MULT                          .7100002         5.1402386       168.0159537        -7.0980629      -236.6171265          .2277337          .2493276 -5.02914693674E-6 1.32469508236E-10 6.07684693808E-11          .2277337          .2493276
  QC1LPE719           MULT                          .7200002         5.2831994       172.7815849        -7.1979137      -239.9463253          .2280392          .2493370          .0000000 -2.55074645588E-5 -1.49753384961E-4          .2280392          .2493370
  QC1LPE721           MULT                          .7200002         5.2831994       172.7815847        -7.1980432      -239.9420905          .2280392          .2493370          .0000000 -5.67146847137E-5 -1.90896325452E-4          .2280392          .2493370
  QC1LE725            MULT                          .7200002         5.2831994       172.7815849        -7.1983474      -239.9321412          .2280392          .2493370 -7.35498665758E-6 1.39052022737E-10 5.42746774449E-11          .2280392          .2493370
  QC1LPE729           MULT                          .7300002         5.4281659       177.6135095        -7.2981934      -243.2602941          .2283363          .2493460          .0000000 -5.67146847137E-5 -1.90896325452E-4          .2283363          .2493460
  QC1LPE731           MULT                          .7300002         5.4281659       177.6135096        -7.2985058      -243.2500705          .2283363          .2493460          .0000000 -1.19349231727E-4 2.282302849048E-4          .2283363          .2493460
  QC1LE735            MULT                          .7300002         5.4281659       177.6135101        -7.2991648      -243.2285129          .2283363          .2493460 -1.08124815507E-5 1.46265870323E-10 6.31612818952E-11          .2283363          .2493460
  QC1LPE739           MULT                          .7400002         5.5751486       182.5113527        -7.3990238      -246.5552675          .2286257          .2493549          .0000000 -1.19349231727E-4 2.282302849048E-4          .2286257          .2493549
  QC1LPE741           MULT                          .7400002         5.5751487       182.5113531        -7.3997002      -246.5331259          .2286257          .2493549          .0000000 -2.40641423791E-4 6.062167762735E-4          .2286257          .2493549
  QC1LE745            MULT                          .7400002         5.5751487       182.5113537        -7.4010538      -246.4888182          .2286257          .2493549 -1.58395872553E-5 1.54318391291E-10 8.39611566601E-11          .2286257          .2493549
  QC1LPE749           MULT                          .7500002         5.7241694       187.4743858        -7.5009566      -249.8133625          .2289074          .2493635          .0000000 -2.40641423791E-4 6.062167762735E-4          .2289074          .2493635
  QC1LPE751           MULT                          .7500002         5.7241695       187.4743864        -7.5023459      -249.7678624          .2289074          .2493635          .0000000 -4.43836719908E-4 3.478928409783E-4          .2289074          .2493635
  QC1LE755            MULT                          .7500002         5.7241695       187.4743870        -7.5048955      -249.6843639          .2289074          .2493635 -2.26030464087E-5 1.63302968710E-10 9.58193110222E-11          .2289074          .2493635
