@ Q1         %le              45.5460667
@ Q2         %le              43.6041000
@ OpticsFile %s      optics$file
@ SEQUENCE   %s        SuperKEKB
* NAME                TYPENAME                             S              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQT1OTE2            MONI                      2669.1520819         7.4403317        20.9498176          .2028379         1.7084092        39.8486373        37.1517910          .0704767          .0367570
  MQF2E43             MONI                      2679.6019862        15.5592217         6.6593999         1.9371573        -1.4349155        40.0240656        37.3551756          .1754283          .2033846
  MQD1E22             MONI                      2683.3417401         5.3422016        23.8161932          .7948461        -3.1527643        40.0913350        37.4031611          .0672694          .0479854
  MQF2E44             MONI                      2688.4814940        15.5592217         6.6593999        -1.9371573         1.4349155        40.2040422        37.4598351          .1127072          .0566740
  MQD3E36             MONI                      2698.9313984         7.4403317        20.9498176         -.2028379        -1.7084092        40.3794705        37.6632197          .1754283          .2033846
  MQF4E36             MONI                      2703.7431796        29.1572012         9.9679438        -2.7076473          .7784462        40.4362562        37.7133440          .0567857          .0501243
  MQEAE43             MONI                      2708.3637436        48.5050151         7.6858431         5.6463304        -1.2526734        40.4540542        37.8114074          .0177980          .0980633
  MQD5E43             MONI                      2714.1151427         7.6607158        26.9249766          .5245025         2.0631561        40.5070770        37.8704634          .0530228          .0590561
  MQF6E22             MONI                      2721.4269430         8.8850272         7.1496356         -.6920158          .6371258        40.6803019        37.9587710          .1732249          .0883075
  MQD5E44             MONI                      2729.6387434         7.6607158        26.9249766         -.5245025        -2.0631561        40.8691666        38.0678115          .1888647          .1090406
  MQEAE44             MONI                      2735.3901425        48.5050151         7.6858431        -5.6463304         1.2526734        40.9221894        38.1268676          .0530228          .0590561
  MQF4E37             MONI                      2740.0107065        29.1572012         9.9679438         2.7076473         -.7784462        40.9399874        38.2249309          .0177980          .0980633
  MQD3E37             MONI                      2744.8224877         7.4403317        20.9498176          .2028379         1.7084092        40.9967731        38.2750553          .0567857          .0501243
  MQF2E45             MONI                      2755.2723920        15.5592217         6.6593999         1.9371573        -1.4349155        41.1722014        38.4784399          .1754283          .2033846
  MQD1E23             MONI                      2759.0121459         5.3422016        23.8161932          .7948461        -3.1527643        41.2394708        38.5264253          .0672694          .0479854
  MQF2E46             MONI                      2764.1518998        15.5592217         6.6593999        -1.9371573         1.4349155        41.3521780        38.5830993          .1127072          .0566740
  MQD3E38             MONI                      2774.6018042         7.4403317        20.9498176         -.2028379        -1.7084092        41.5276063        38.7864839          .1754283          .2033846
  MQF4E38             MONI                      2779.4135854        29.1572012         9.9679438        -2.7076473          .7784462        41.5843920        38.8366083          .0567857          .0501243
  MQEAE45             MONI                      2784.0341494        48.5050151         7.6858431         5.6463304        -1.2526734        41.6021900        38.9346716          .0177980          .0980633
  MQD5E45             MONI                      2789.7855485         7.6607158        26.9249766          .5245025         2.0631561        41.6552128        38.9937277          .0530228          .0590561
  MQF6E23             MONI                      2797.0973488         8.8850272         7.1496356         -.6920158          .6371258        41.8284377        39.0820352          .1732249          .0883075
  MQD5E46             MONI                      2805.3091492         7.6607158        26.9249766         -.5245025        -2.0631561        42.0173024        39.1910758          .1888647          .1090406
  MQEAE46             MONI                      2811.0605483        48.5050151         7.6858431        -5.6463304         1.2526734        42.0703252        39.2501318          .0530228          .0590561
  MQF4E39             MONI                      2815.6811123        29.1572012         9.9679438         2.7076473         -.7784462        42.0881232        39.3481952          .0177980          .0980633
  MQD3E39             MONI                      2820.4928935         7.4403317        20.9498176          .2028379         1.7084092        42.1449089        39.3983195          .0567857          .0501243
  MQF2E47             MONI                      2830.9427978        15.5592217         6.6593999         1.9371573        -1.4349155        42.3203372        39.6017041          .1754283          .2033846
  MQD1E24             MONI                      2834.6825517         5.3422016        23.8161932          .7948461        -3.1527643        42.3876066        39.6496896          .0672694          .0479854
  MQF2E48             MONI                      2839.8223056        15.5592217         6.6593999        -1.9371573         1.4349155        42.5003138        39.7063636          .1127072          .0566740
  MQD3E40             MONI                      2850.2722100         7.4403317        20.9498176         -.2028379        -1.7084092        42.6757421        39.9097482          .1754283          .2033846
  MQF4E40             MONI                      2855.0839912        29.1572012         9.9679438        -2.7076473          .7784462        42.7325278        39.9598725          .0567857          .0501243
  MQLA10RE            MONI                      2859.7045552        46.8449793         7.9300982         6.9028434        -1.4797291        42.7503634        40.0576858          .0178356          .0978133
  MQLA9RE             MONI                      2863.9595666         6.9040781        27.8047642         2.4839472        -3.1911551        42.7883801        40.1039402          .0380167          .0462544
  MQLA8RE             MONI                      2873.3713667        15.1987642        10.0948830         1.1057551        -4.4392609        43.0729423        40.5175147          .2845622          .4135745
  MQLA7RE             MONI                      2881.8831668         8.4403106       192.6986917        -1.4400444        12.9317295        43.2263781        40.5455759          .1534358          .0280612
  MQLA6RE             MONI                      2890.4286614        46.5106248        46.2297949         6.2219638        -3.3110541        43.2888239        40.5617107          .0624459          .0161348
  MQLA5RE             MONI                      2894.5891235        12.0467717        63.7675223          .8107282         7.4678228        43.3194168        40.5728869          .0305929          .0111762
  MQLA4RE             MONI                      2905.7611605         9.2926399         9.3197751         1.2462319        -4.1724407        43.5284779        40.9900363          .2090611          .4171495
  MQLA3RE             MONI                      2911.7141280         5.0335873       106.4618409        -1.4062421         9.4008416        43.7281427        41.0175656          .1996648          .0275293
  MQLA2RE             MONI                      2920.9780873        78.5903189         4.4997139        -3.1552007         1.4176538        43.8035918        41.0885679          .0754491          .0710023
  MQLX2RE1            MONI                      2923.3380873        75.5173880         1.8729846        16.4466414         -.5436679        43.8080599        41.2608283          .0044681          .1722604
  MQLX3RE1            MONI                      2925.4855980        21.4585673         7.3981108         8.7261412        -2.0291370        43.8165544        41.3586991          .0084945          .0978708
  MQLX4RE             MONI                      2932.3455996         2.2795845         9.2851266          .1657028        -2.5372420        44.0768944        41.5054100          .2603399          .1467110
  MQLX3RE2            MONI                      2938.3056012        21.1384352        50.7246070        -8.6928909        11.3798003        44.2922498        41.5437328          .2153555          .0383228
  MQLX2RE2            MONI                      2940.4531119        75.1791777        13.7129643       -16.4714734         5.8548716        44.3008277        41.5567064          .0085779          .0129736
  MQLB8RE             MONI                      2942.8131119        78.6738756         2.4274661         3.0596957          .9647408        44.3053034        41.6299859          .0044757          .0732795
  MQLB7RE             MONI                      2948.3910008         5.4691015         6.6632902         -.3489299         2.6386439        44.3631161        41.9270287          .0578127          .2970428
  MQLB4RE             MONI                      2957.8615735        24.2453516        78.4002310         4.4585962       -26.8968344        44.4945282        42.3509946          .1314121          .4239660
  MQLB1RE             MONI                      2960.9918734         6.3964764       263.1461398          .1355252        28.2165800        44.5395614        42.3540933          .0450331          .0030986
  MQLY2RE1            MONI                      2963.0018734         6.4133030       164.1601474         -.0820088        19.5280283        44.5901058        42.3556401          .0505444          .0015468
  MQLY4RE1            MONI                      2968.2575734        11.6113420        23.2282678         -.9070200         7.2870258        44.6943291        42.3692024          .1042233          .0135623
  MQLY5RE             MONI                      2975.5176168         4.7777574         2.2416034        -1.2976500          .0585438        44.9084308        42.6354959          .2141017          .2662935
  MQLY4RE2            MONI                      2981.8776603        36.6416898        23.2105069         3.3662794        -7.2855256        44.9808840        42.8396582          .0724532          .2041623
  MQLY2RE2            MONI                      2987.1333603        10.5537508       164.1498292         1.5974626       -19.5309446        45.0239437        42.8532261          .0430597          .0135680
  MQLC7RE             MONI                      2989.1433603         5.1390694       263.1507975          .9907191       -28.2212238        45.0677164        42.8547730          .0437727          .0015469
  MQLC6RE             MONI                      2993.5686003         9.7373811        75.3528602        -1.1580405        18.1611941        45.1875514        42.8593233          .1198351          .0045503
  MQLC5RE             MONI                      2997.2893453        12.2551155        14.4268785         -.3690699         4.5271209        45.2403860        42.8781135          .0528345          .0187903
  MQLC3RE             MONI                      3003.3799331        34.9614517        25.6036831        -2.6137639        -7.2885555        45.2894231        43.3284036          .0490372          .4502900
  MQLC2RE             MONI                      3010.6399742       233.8152734        99.8849425       -12.2295639        -9.8913659        45.3028092        43.3502472          .0133861          .0218436
  MQC2RE              MONI                      3013.8146988       190.7130202       263.7467378       118.3642996      -135.9911137        45.3047308        43.3540103          .0019216          .0037631
  MQC1RE              MONI                      3015.7846995         2.9087304        93.6284372         5.2990527       176.6381914        45.3257444        43.3550008          .0210135 9.904717047169E-4
