@ Q1         %le              45.5460667
@ Q2         %le              43.6041000
@ OpticsFile %s      optics$file
@ SEQUENCE   %s        SuperKEKB
* NAME                TYPENAME                             S              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQTATNE1            MONI                       354.4092937        45.9537751        14.5078121         4.4063204        -1.2253565         5.9292318         6.2268103          .0165080          .0312781
  MQT3TNE1            MONI                       359.2821055        15.6516231        26.8599377          .6223595         1.0376253         5.9599907         6.2642419          .0307590          .0374316
  MQT4TNE1            MONI                       367.4419758        11.3961005        15.0077135         -.1006456          .4136879         6.0645565         6.3308182          .1045658          .0665763
  MQTBTNE1            MONI                       371.4602122        17.7631299         9.1293805        -1.1279693          .5474632         6.1112043         6.3852630          .0466478          .0544448
  MQT5TNE             MONI                       375.4784486        10.2726343        16.6855495          .9752401        -1.5395822         6.1556271         6.4422130          .0444228          .0569500
  MQTBTNE2            MONI                       380.6966849        17.7631299         9.1293805         1.1279693         -.5474632         6.2195553         6.5100981          .0639281          .0678851
  MQT4TNE2            MONI                       384.7149213        11.3961005        15.0077135          .1006456         -.4136879         6.2662030         6.5645429          .0466478          .0544448
  MQT3TNE2            MONI                       392.8747916        15.6516231        26.8599377         -.6223595        -1.0376253         6.3707688         6.6311192          .1045658          .0665763
  MQTATNE2            MONI                       397.7476034        45.9537751        14.5078121        -4.4063204         1.2253565         6.4015278         6.6685508          .0307590          .0374316
  MQT2TNE2            MONI                       401.2650634        20.0134444        27.6411806         4.0852939        -3.0319945         6.4180358         6.6998289          .0165080          .0312781
  MQT1TNE2            MONI                       406.4728105         7.4403317        20.9498176          .2028379         1.7084092         6.4964381         6.7309487          .0784023          .0311198
  MQF2E7              MONI                       416.9227149        15.5592217         6.6593999         1.9371573        -1.4349155         6.6718664         6.9343333          .1754283          .2033846
  MQD1E4              MONI                       422.0624688         5.3422016        23.8161932         -.7948461         3.1527643         6.7845736         6.9910073          .1127072          .0566740
  MQF2E8              MONI                       425.8022227        15.5592217         6.6593999        -1.9371573         1.4349155         6.8518431         7.0389927          .0672694          .0479854
  MQD3E6              MONI                       436.2521271         7.4403317        20.9498176         -.2028379        -1.7084092         7.0272714         7.2423773          .1754283          .2033846
  MQF4E6              MONI                       441.0639082        29.1572012         9.9679438        -2.7076473          .7784462         7.0840570         7.2925017          .0567857          .0501243
  MQEAE7              MONI                       445.6844722        48.5050151         7.6858431         5.6463304        -1.2526734         7.1018551         7.3905650          .0177980          .0980633
  MQD5E7              MONI                       451.4358713         7.6607158        26.9249766          .5245025         2.0631561         7.1548778         7.4496211          .0530228          .0590561
  MQF6E4              MONI                       458.7476717         8.8850272         7.1496356         -.6920158          .6371258         7.3281028         7.5379286          .1732249          .0883075
  MQD5E8              MONI                       466.9594721         7.6607158        26.9249766         -.5245025        -2.0631561         7.5169675         7.6469692          .1888647          .1090406
  MQEAE8              MONI                       472.7108711        48.5050151         7.6858431        -5.6463304         1.2526734         7.5699902         7.7060253          .0530228          .0590561
  MQF4E7              MONI                       477.3314352        29.1572012         9.9679438         2.7076473         -.7784462         7.5877883         7.8040886          .0177980          .0980633
  MQD3E7              MONI                       482.1432163         7.4403317        20.9498176          .2028379         1.7084092         7.6445739         7.8542130          .0567857          .0501243
  MQF2E9              MONI                       492.5931207        15.5592217         6.6593999         1.9371573        -1.4349155         7.8200022         8.0575976          .1754283          .2033846
  MQD1E5              MONI                       497.7328746         5.3422016        23.8161932         -.7948461         3.1527643         7.9327094         8.1142716          .1127072          .0566740
  MQF2E10             MONI                       501.4726285        15.5592217         6.6593999        -1.9371573         1.4349155         7.9999789         8.1622570          .0672694          .0479854
  MQD3E8              MONI                       511.9225329         7.4403317        20.9498176         -.2028379        -1.7084092         8.1754072         8.3656416          .1754283          .2033846
  MQF4E8              MONI                       516.7343140        29.1572012         9.9679438        -2.7076473          .7784462         8.2321928         8.4157659          .0567857          .0501243
  MQEAE9              MONI                       521.3548780        48.5050151         7.6858431         5.6463304        -1.2526734         8.2499909         8.5138293          .0177980          .0980633
  MQD5E9              MONI                       527.1062771         7.6607158        26.9249766          .5245025         2.0631561         8.3030136         8.5728853          .0530228          .0590561
  MQF6E5              MONI                       534.4180775         8.8850272         7.1496356         -.6920158          .6371258         8.4762386         8.6611929          .1732249          .0883075
  MQD5E10             MONI                       542.6298779         7.6607158        26.9249766         -.5245025        -2.0631561         8.6651033         8.7702335          .1888647          .1090406
  MQEAE10             MONI                       548.3812769        48.5050151         7.6858431        -5.6463304         1.2526734         8.7181260         8.8292895          .0530228          .0590561
  MQF4E9              MONI                       553.0018410        29.1572012         9.9679438         2.7076473         -.7784462         8.7359241         8.9273529          .0177980          .0980633
  MQD3E9              MONI                       557.8136221         7.4403317        20.9498176          .2028379         1.7084092         8.7927097         8.9774772          .0567857          .0501243
  MQF2E11             MONI                       568.2635265        15.5592217         6.6593999         1.9371573        -1.4349155         8.9681380         9.1808618          .1754283          .2033846
  MQD1E6              MONI                       573.4032804         5.3422016        23.8161932         -.7948461         3.1527643         9.0808452         9.2375358          .1127072          .0566740
  MQF2E12             MONI                       577.1430343        15.5592217         6.6593999        -1.9371573         1.4349155         9.1481147         9.2855212          .0672694          .0479854
  MQD3E10             MONI                       587.5929387         7.4403317        20.9498176         -.2028379        -1.7084092         9.3235430         9.4889058          .1754283          .2033846
  MQF4E10             MONI                       592.4047198        29.1572012         9.9679438        -2.7076473          .7784462         9.3803286         9.5390302          .0567857          .0501243
  MQEAE11             MONI                       597.0252838        48.5050151         7.6858431         5.6463304        -1.2526734         9.3981267         9.6370935          .0177980          .0980633
  MQD5E11             MONI                       602.7766829         7.6607158        26.9249766          .5245025         2.0631561         9.4511494         9.6961496          .0530228          .0590561
  MQF6E6              MONI                       610.0884833         8.8850272         7.1496356         -.6920158          .6371258         9.6243744         9.7844571          .1732249          .0883075
  MQD5E12             MONI                       618.3002837         7.6607158        26.9249766         -.5245025        -2.0631561         9.8132391         9.8934977          .1888647          .1090406
  MQEAE12             MONI                       624.0516827        48.5050151         7.6858431        -5.6463304         1.2526734         9.8662618         9.9525538          .0530228          .0590561
  MQS4NE1             MONI                       628.6782468        29.1247197         9.9772910         2.7059328         -.7794129         9.8840926        10.0507129          .0178308          .0981591
  MQSBNE1             MONI                       632.7116843         7.1239106        19.7434347          .1518948         2.8004989         9.9334257        10.0927323          .0493331          .0420194
  MQS3NE1             MONI                       635.2613416         7.2829308         8.3744012         -.2142641         1.6585449         9.9910104        10.1245012          .0575847          .0317689
  MQS2NE1             MONI                       643.6320420         7.9593141        12.8553157        -1.0471387        -1.0205480        10.2576613        10.2975793          .2666510          .1730781
  MQR7NE1             MONI                       648.8994305        10.6099497        61.4331437         -.4428616        -6.7937294        10.3484714        10.3293747          .0908101          .0317955
  MQR6NE1             MONI                       655.0520212        53.1897177        20.1806012         4.1727284         -.5324851        10.3893710        10.3573736          .0408996          .0279989
  MQR5NE1             MONI                       668.4924054         4.1064929        38.9087507         -.9175391         3.5451347        10.6701407        10.4303589          .2807697          .0729853
  MQR4NE1             MONI                       677.9182054        49.6847499         3.8304286         3.2119226         -.2637357        10.7716887        10.5920216          .1015481          .1616627
  MQR3NE1             MONI                       687.3440054        11.7964281        27.2460000         -.6213514         1.7078980        10.8422131        10.7485342          .0705244          .1565126
  MQR2NE1             MONI                       696.7698054        28.8232835         9.2517301         1.9137339         -.6740765        10.9206195        10.8589100          .0784064          .1103758
